log,category
[7769]  test_user_auth_failed: user is not authenticated - Execution ID 55647,Test Failure
"[8136]  [INFO] Thread-5 executing task Randomised test failed, check seed 12345 - Execution ID 81376",Flaky Test
[1646]  test_user_auth_failed: user is not authenticated - Execution ID 28361,Test Failure
[7709]  [INFO] Thread-9 executing task ModuleNotFoundError: No module named 'src.utils' - Execution ID 56655,Build Failure
[7766]  [INFO] Thread-1 executing task TS2322: Type 'string' is not assignable to type 'number'. - Execution ID 41288,Build Failure
[1200]  User does not have permission to execute this action - Execution ID 95509,Permission Error
[3287]  ModuleNotFoundError: No module named 'src.utils' - Execution ID 99652,Build Failure
[1267]  [INFO] Thread-3 executing task test_user_auth_failed: user is not authenticated - Execution ID 90550,Test Failure
[9045]  Job terminated: Exceeded maximum allowed runtime - Execution ID 60313,Timeout Failure
[2497]  ECONNREFUSED: Connection refused by 127.0.0.1:5432 - Execution ID 94919,Network Failure
[4499]  Missing dependency: left-pad is not installed - Execution ID 86048,Dependency Error
[4463]  [INFO] Thread-3 executing task TS2322: Type 'string' is not assignable to type 'number'. - Execution ID 55794,Build Failure
[1350]  ECONNREFUSED: Connection refused by 127.0.0.1:5432 - Execution ID 15837,Network Failure
[3252]  [INFO] Thread-2 executing task FAIL src/components/App.test.tsx - Execution ID 78750,Test Failure
[5757]  [INFO] Thread-5 executing task Exception: AWS_REGION is not set - Execution ID 89508,Environment Issue
[8384]  [INFO] Thread-8 executing task WARN: Test execution time varied by more than 50% - Execution ID 69062,Flaky Test
[1780]  ModuleNotFoundError: No module named 'src.utils' - Execution ID 47470,Build Failure
[6631]  [INFO] Thread-1 executing task Gateway Timeout: 504 - Execution ID 96975,Timeout Failure
[3905]  [INFO] Thread-2 executing task pip: No matching distribution found for numpy==99.9.9 - Execution ID 35378,Dependency Error
[1000]  AssertionError: expected False to be True - Execution ID 59795,Test Failure
[9246]  make: *** [all] Error 2 - Execution ID 34978,Build Failure
[7040]  error: expected ';' before '}' token - Execution ID 78485,Build Failure
"[9453]  Randomised test failed, check seed 12345 - Execution ID 88186",Flaky Test
"[8716]  EACCES: permission denied, open '/var/log/app.log' - Execution ID 75036",Permission Error
[4537]  [INFO] Thread-3 executing task Missing dependency: left-pad is not installed - Execution ID 85587,Dependency Error
[4159]  Segmentation fault (core dumped) - Execution ID 28420,Container Crash
[7370]  [INFO] Thread-4 executing task error: expected ';' before '}' token - Execution ID 35123,Build Failure
[5413]  Missing dependency: left-pad is not installed - Execution ID 25042,Dependency Error
[9809]  [INFO] Thread-10 executing task Cannot read property 'url' of undefined from process.env - Execution ID 63035,Environment Issue
[7370]  Exception: AWS_REGION is not set - Execution ID 75708,Environment Issue
[6510]  [INFO] Thread-1 executing task SyntaxError: Unexpected token - Execution ID 17611,Build Failure
[1941]  make: *** [all] Error 2 - Execution ID 98883,Build Failure
[2650]  FAIL src/components/App.test.tsx - Execution ID 36083,Test Failure
[8278]  AccessDeniedException: User is not authorized to perform: iam:PassRole - Execution ID 17993,Permission Error
[5659]  AssertionError: expected False to be True - Execution ID 27435,Test Failure
[8596]  ModuleNotFoundError: No module named 'src.utils' - Execution ID 34388,Build Failure
[6225]  panic: runtime error: invalid memory address or nil pointer dereference - Execution ID 36345,Container Crash
[5792]  chmod: changing permissions of 'script.sh': Operation not permitted - Execution ID 72237,Permission Error
[2331]  Connection timed out after 30000 milliseconds - Execution ID 63334,Timeout Failure
[4017]  [INFO] Thread-6 executing task Configuration Error: Invalid JSON in config.yaml - Execution ID 90483,Environment Issue
[2771]  AssertionError: expected False to be True - Execution ID 65289,Test Failure
[7567]  Exception: AWS_REGION is not set - Execution ID 66605,Environment Issue
[6207]  [INFO] Thread-1 executing task Cannot read property 'url' of undefined from process.env - Execution ID 47534,Environment Issue
"[3481]  [INFO] Thread-9 executing task EACCES: permission denied, open '/var/log/app.log' - Execution ID 45710",Permission Error
[2724]  pip: No matching distribution found for numpy==99.9.9 - Execution ID 38865,Dependency Error
[7791]  [INFO] Thread-2 executing task test_user_auth_failed: user is not authenticated - Execution ID 11907,Test Failure
[2538]  Could not resolve dependencies for project - Execution ID 98114,Dependency Error
[9830]  [INFO] Thread-5 executing task Exception: AWS_REGION is not set - Execution ID 66998,Environment Issue
[9736]  [INFO] Thread-9 executing task ECONNREFUSED: Connection refused by 127.0.0.1:5432 - Execution ID 23077,Network Failure
[4250]  error: expected ';' before '}' token - Execution ID 37371,Build Failure
[2656]  urllib.error.URLError: <urlopen error [Errno 111] Connection refused> - Execution ID 18118,Network Failure
[2141]  [INFO] Thread-6 executing task Segmentation fault (core dumped) - Execution ID 66897,Container Crash
[1776]  pip: No matching distribution found for numpy==99.9.9 - Execution ID 89409,Dependency Error
[2108]  chmod: changing permissions of 'script.sh': Operation not permitted - Execution ID 67145,Permission Error
[9301]  panic: runtime error: invalid memory address or nil pointer dereference - Execution ID 31118,Container Crash
[1421]  [INFO] Thread-7 executing task ECONNREFUSED: Connection refused by 127.0.0.1:5432 - Execution ID 37729,Network Failure
[6867]  403 Forbidden: Access denied - Execution ID 48605,Permission Error
[9058]  Exception: AWS_REGION is not set - Execution ID 94868,Environment Issue
[9378]  [INFO] Thread-5 executing task Configuration Error: Invalid JSON in config.yaml - Execution ID 17444,Environment Issue
[7789]  [INFO] Thread-7 executing task Job terminated: Exceeded maximum allowed runtime - Execution ID 66059,Timeout Failure
[2506]  [INFO] Thread-7 executing task Cannot read property 'url' of undefined from process.env - Execution ID 52322,Environment Issue
[8541]  Gateway Timeout: 504 - Execution ID 88430,Timeout Failure
[6328]  [INFO] Thread-2 executing task error: ISO C++ forbids comparison between pointer and integer - Execution ID 45538,Build Failure
[8393]  Failed to load resource: net::ERR_NAME_NOT_RESOLVED - Execution ID 29030,Dependency Error
[6293]  [INFO] Thread-1 executing task Failed to connect to repository: Could not resolve host - Execution ID 42127,Network Failure
[4044]  npm ERR! code ERESOLVE - Execution ID 43035,Dependency Error
[7282]  [INFO] Thread-6 executing task Failed to connect to repository: Could not resolve host - Execution ID 17988,Network Failure
[1788]  panic: runtime error: invalid memory address or nil pointer dereference - Execution ID 97175,Container Crash
[9427]  [INFO] Thread-8 executing task Request timeout while fetching https://api.github.com - Execution ID 42387,Timeout Failure
[7497]  [INFO] Thread-8 executing task OOMKilled: Container exited with code 137 - Execution ID 61352,Container Crash
[3411]  [INFO] Thread-6 executing task socket hang up - Execution ID 66885,Network Failure
[1549]  Configuration Error: Invalid JSON in config.yaml - Execution ID 74235,Environment Issue
[6909]  Cannot read property 'url' of undefined from process.env - Execution ID 62584,Environment Issue
[3373]  [INFO] Thread-3 executing task Request timeout while fetching https://api.github.com - Execution ID 99549,Timeout Failure
[3823]  [INFO] Thread-6 executing task Missing dependency: left-pad is not installed - Execution ID 82692,Dependency Error
[7654]  Missing dependency: left-pad is not installed - Execution ID 58608,Dependency Error
"[3514]  Randomised test failed, check seed 12345 - Execution ID 97756",Flaky Test
[6455]  [INFO] Thread-7 executing task AssertionError: timestamp mismatch (flaky) - Execution ID 36366,Flaky Test
[6631]  AccessDeniedException: User is not authorized to perform: iam:PassRole - Execution ID 72692,Permission Error
[7759]  [INFO] Thread-1 executing task FAIL src/components/App.test.tsx - Execution ID 60371,Test Failure
[8943]  ModuleNotFoundError: No module named 'src.utils' - Execution ID 91567,Build Failure
[5971]  [INFO] Thread-9 executing task SyntaxError: Unexpected token - Execution ID 76822,Build Failure
[7890]  WARN: Test execution time varied by more than 50% - Execution ID 22790,Flaky Test
[4515]  [INFO] Thread-7 executing task error: ISO C++ forbids comparison between pointer and integer - Execution ID 38226,Build Failure
[2039]  [INFO] Thread-4 executing task docker run failed: container crashed unexpectedly - Execution ID 78558,Container Crash
[2759]  [INFO] Thread-4 executing task npm ERR! peerDependencies WARNING - Execution ID 89231,Dependency Error
[9659]  [INFO] Thread-9 executing task error: ISO C++ forbids comparison between pointer and integer - Execution ID 72739,Build Failure
[9491]  [INFO] Thread-4 executing task WARN: Test execution time varied by more than 50% - Execution ID 86869,Flaky Test
"[4512]  Randomised test failed, check seed 12345 - Execution ID 46094",Flaky Test
[3483]  [INFO] Thread-3 executing task Connection timed out after 30000 milliseconds - Execution ID 16705,Timeout Failure
[1295]  [INFO] Thread-10 executing task Cannot read property 'url' of undefined from process.env - Execution ID 40132,Environment Issue
[6825]  Connection timed out after 30000 milliseconds - Execution ID 27339,Timeout Failure
[6253]  [INFO] Thread-8 executing task Intermittent failure in test_network_connection - Execution ID 62146,Flaky Test
[4456]  FileNotFoundError: [Errno 2] No such file or directory: '/etc/config.json' - Execution ID 65835,Environment Issue
[4889]  AssertionError: timestamp mismatch (flaky) - Execution ID 26131,Flaky Test
[7406]  FileNotFoundError: [Errno 2] No such file or directory: '/etc/config.json' - Execution ID 46198,Environment Issue
[6124]  [INFO] Thread-5 executing task User does not have permission to execute this action - Execution ID 85650,Permission Error
[6891]  [INFO] Thread-1 executing task Error response from daemon: container cannot be started - Execution ID 97138,Container Crash
[1841]  Configuration Error: Invalid JSON in config.yaml - Execution ID 45600,Environment Issue
[5350]  [INFO] Thread-2 executing task error: ISO C++ forbids comparison between pointer and integer - Execution ID 27581,Build Failure
[9548]  FileNotFoundError: [Errno 2] No such file or directory: '/etc/config.json' - Execution ID 97721,Environment Issue
[1721]  Missing dependency: left-pad is not installed - Execution ID 91239,Dependency Error
[5379]  Failed to connect to repository: Could not resolve host - Execution ID 57645,Network Failure
[6228]  [INFO] Thread-10 executing task TS2322: Type 'string' is not assignable to type 'number'. - Execution ID 64434,Build Failure
[5437]  FileNotFoundError: [Errno 2] No such file or directory: '/etc/config.json' - Execution ID 10530,Environment Issue
[3826]  Request timeout while fetching https://api.github.com - Execution ID 56254,Timeout Failure
"[4874]  [INFO] Thread-7 executing task EACCES: permission denied, open '/var/log/app.log' - Execution ID 56265",Permission Error
[2162]  ECONNREFUSED: Connection refused by 127.0.0.1:5432 - Execution ID 61345,Network Failure
[2331]  [INFO] Thread-7 executing task pip: No matching distribution found for numpy==99.9.9 - Execution ID 44223,Dependency Error
[7870]  Request timeout while fetching https://api.github.com - Execution ID 93823,Timeout Failure
[5615]  Exception: AWS_REGION is not set - Execution ID 35669,Environment Issue
[2247]  AssertionError: timestamp mismatch (flaky) - Execution ID 21062,Flaky Test
[2147]  urllib.error.URLError: <urlopen error [Errno 111] Connection refused> - Execution ID 85678,Network Failure
[3802]  [INFO] Thread-5 executing task error: expected ';' before '}' token - Execution ID 40573,Build Failure
[5631]  [INFO] Thread-6 executing task Gateway Timeout: 504 - Execution ID 83456,Timeout Failure
[2609]  Connection timed out after 30000 milliseconds - Execution ID 95854,Timeout Failure
[7990]  [INFO] Thread-7 executing task error: expected ';' before '}' token - Execution ID 95633,Build Failure
[7702]  Network is unreachable - Execution ID 77356,Network Failure
[3974]  Cannot read property 'url' of undefined from process.env - Execution ID 27596,Environment Issue
[4732]  error: expected ';' before '}' token - Execution ID 13282,Build Failure
[9463]  [INFO] Thread-10 executing task Segmentation fault (core dumped) - Execution ID 80888,Container Crash
[4049]  Request timeout while fetching https://api.github.com - Execution ID 50807,Timeout Failure
[7704]  [INFO] Thread-7 executing task npm ERR! code ERESOLVE - Execution ID 37533,Dependency Error
[3646]  [INFO] Thread-5 executing task User does not have permission to execute this action - Execution ID 81404,Permission Error
[2035]  [INFO] Thread-8 executing task Intermittent failure in test_network_connection - Execution ID 26284,Flaky Test
[1195]  pip: No matching distribution found for numpy==99.9.9 - Execution ID 61856,Dependency Error
[2777]  [INFO] Thread-4 executing task AccessDeniedException: User is not authorized to perform: iam:PassRole - Execution ID 15068,Permission Error
[3978]  Could not resolve dependencies for project - Execution ID 61783,Dependency Error
[3104]  ECONNREFUSED: Connection refused by 127.0.0.1:5432 - Execution ID 44400,Network Failure
[8599]  make: *** [all] Error 2 - Execution ID 41772,Build Failure
[2367]  [INFO] Thread-9 executing task chmod: changing permissions of 'script.sh': Operation not permitted - Execution ID 13168,Permission Error
[8053]  [INFO] Thread-3 executing task Error response from daemon: container cannot be started - Execution ID 40782,Container Crash
[9543]  [INFO] Thread-1 executing task Failed to load resource: net::ERR_NAME_NOT_RESOLVED - Execution ID 14400,Dependency Error
[9841]  SyntaxError: Unexpected token - Execution ID 28071,Build Failure
[1958]  [INFO] Thread-5 executing task TS2322: Type 'string' is not assignable to type 'number'. - Execution ID 47835,Build Failure
[1667]  SyntaxError: Unexpected token - Execution ID 31361,Build Failure
[9929]  FileNotFoundError: [Errno 2] No such file or directory: '/etc/config.json' - Execution ID 14828,Environment Issue
[1613]  [INFO] Thread-9 executing task FileNotFoundError: [Errno 2] No such file or directory: '/etc/config.json' - Execution ID 82314,Environment Issue
[1905]  pip: No matching distribution found for numpy==99.9.9 - Execution ID 25880,Dependency Error
"[2660]  EACCES: permission denied, open '/var/log/app.log' - Execution ID 44155",Permission Error
[7212]  [INFO] Thread-3 executing task TS2322: Type 'string' is not assignable to type 'number'. - Execution ID 29849,Build Failure
[7053]  [INFO] Thread-6 executing task AssertionError: timestamp mismatch (flaky) - Execution ID 24321,Flaky Test
[6856]  [INFO] Thread-9 executing task Intermittent failure in test_network_connection - Execution ID 77809,Flaky Test
[5865]  Error: expect(received).toBe(expected) - Execution ID 30968,Test Failure
[4386]  AssertionError: expected False to be True - Execution ID 13304,Test Failure
[5366]  Configuration Error: Invalid JSON in config.yaml - Execution ID 30672,Environment Issue
[5324]  [INFO] Thread-4 executing task make: *** [all] Error 2 - Execution ID 48214,Build Failure
[3033]  [INFO] Thread-1 executing task Job terminated: Exceeded maximum allowed runtime - Execution ID 87879,Timeout Failure
[9640]  AssertionError: expected False to be True - Execution ID 72469,Test Failure
[5239]  [INFO] Thread-1 executing task Request timeout while fetching https://api.github.com - Execution ID 40540,Timeout Failure
[3763]  [INFO] Thread-8 executing task AssertionError: timestamp mismatch (flaky) - Execution ID 63607,Flaky Test
[1948]  [INFO] Thread-9 executing task FAIL src/components/App.test.tsx - Execution ID 44881,Test Failure
[7135]  Cannot read property 'url' of undefined from process.env - Execution ID 98217,Environment Issue
[4398]  Intermittent failure in test_network_connection - Execution ID 40289,Flaky Test
[8457]  403 Forbidden: Access denied - Execution ID 47186,Permission Error
[3795]  WARN: Test execution time varied by more than 50% - Execution ID 25124,Flaky Test
[6131]  AssertionError: expected False to be True - Execution ID 77432,Test Failure
[4641]  Cannot read property 'url' of undefined from process.env - Execution ID 80026,Environment Issue
[5587]  error: expected ';' before '}' token - Execution ID 43048,Build Failure
[2648]  [INFO] Thread-4 executing task AssertionError: expected False to be True - Execution ID 77746,Test Failure
"[2778]  [INFO] Thread-3 executing task EACCES: permission denied, open '/var/log/app.log' - Execution ID 12437",Permission Error
[2315]  Exception: AWS_REGION is not set - Execution ID 23442,Environment Issue
[2713]  [INFO] Thread-8 executing task AssertionError: timestamp mismatch (flaky) - Execution ID 81080,Flaky Test
[7851]  [INFO] Thread-5 executing task Failed to connect to repository: Could not resolve host - Execution ID 15787,Network Failure
[3511]  [INFO] Thread-5 executing task Error: expect(received).toBe(expected) - Execution ID 13330,Test Failure
[1384]  [INFO] Thread-4 executing task test_user_auth_failed: user is not authenticated - Execution ID 59810,Test Failure
[2932]  TS2322: Type 'string' is not assignable to type 'number'. - Execution ID 91943,Build Failure
[1789]  Segmentation fault (core dumped) - Execution ID 14227,Container Crash
[7460]  [INFO] Thread-4 executing task 403 Forbidden: Access denied - Execution ID 39140,Permission Error
[6244]  AssertionError: timestamp mismatch (flaky) - Execution ID 99019,Flaky Test
[7573]  [INFO] Thread-10 executing task Expected value to equal: 5 Received: 4 - Execution ID 74262,Test Failure
[8374]  Failed to connect to repository: Could not resolve host - Execution ID 25461,Network Failure
[8136]  socket hang up - Execution ID 92302,Network Failure
[6934]  ModuleNotFoundError: No module named 'src.utils' - Execution ID 67130,Build Failure
[4738]  Failed to connect to repository: Could not resolve host - Execution ID 92913,Network Failure
[4574]  [INFO] Thread-8 executing task npm ERR! peerDependencies WARNING - Execution ID 61688,Dependency Error
[4525]  Failed to connect to repository: Could not resolve host - Execution ID 21370,Network Failure
[4669]  [INFO] Thread-8 executing task ModuleNotFoundError: No module named 'src.utils' - Execution ID 21509,Build Failure
[4347]  Gateway Timeout: 504 - Execution ID 51098,Timeout Failure
[1368]  [INFO] Thread-2 executing task Network is unreachable - Execution ID 40742,Network Failure
[9920]  Failed to connect to repository: Could not resolve host - Execution ID 91268,Network Failure
[5901]  [INFO] Thread-8 executing task error: ISO C++ forbids comparison between pointer and integer - Execution ID 91650,Build Failure
[7756]  Cannot read property 'url' of undefined from process.env - Execution ID 47641,Environment Issue
[8807]  [INFO] Thread-7 executing task SyntaxError: Unexpected token - Execution ID 87424,Build Failure
[2584]  OOMKilled: Container exited with code 137 - Execution ID 54423,Container Crash
[1695]  [INFO] Thread-5 executing task AssertionError: expected False to be True - Execution ID 49329,Test Failure
[7314]  Segmentation fault (core dumped) - Execution ID 11103,Container Crash
[3878]  Missing dependency: left-pad is not installed - Execution ID 11444,Dependency Error
[6528]  FAIL src/components/App.test.tsx - Execution ID 53497,Test Failure
[7881]  Intermittent failure in test_network_connection - Execution ID 14061,Flaky Test
[5798]  Missing dependency: left-pad is not installed - Execution ID 37571,Dependency Error
[8410]  FAIL src/components/App.test.tsx - Execution ID 81679,Test Failure
[1067]  Expected value to equal: 5 Received: 4 - Execution ID 58991,Test Failure
[4270]  Failed to load resource: net::ERR_NAME_NOT_RESOLVED - Execution ID 97805,Dependency Error
[8619]  [INFO] Thread-5 executing task AssertionError: expected False to be True - Execution ID 21121,Test Failure
[1208]  User does not have permission to execute this action - Execution ID 59724,Permission Error
[3753]  OOMKilled: Container exited with code 137 - Execution ID 68459,Container Crash
[1035]  npm ERR! peerDependencies WARNING - Execution ID 50273,Dependency Error
[3610]  [INFO] Thread-3 executing task error: expected ';' before '}' token - Execution ID 45727,Build Failure
[1852]  [INFO] Thread-3 executing task AssertionError: expected False to be True - Execution ID 90508,Test Failure
[9773]  [INFO] Thread-10 executing task FAIL src/components/App.test.tsx - Execution ID 70249,Test Failure
[6808]  docker run failed: container crashed unexpectedly - Execution ID 64563,Container Crash
[7448]  pip: No matching distribution found for numpy==99.9.9 - Execution ID 90041,Dependency Error
[5332]  [INFO] Thread-7 executing task AssertionError: expected False to be True - Execution ID 22167,Test Failure
[8617]  [INFO] Thread-9 executing task Error: expect(received).toBe(expected) - Execution ID 79070,Test Failure
[5884]  [INFO] Thread-3 executing task SyntaxError: Unexpected token - Execution ID 51544,Build Failure
[7803]  [INFO] Thread-7 executing task socket hang up - Execution ID 60926,Network Failure
[7228]  Network is unreachable - Execution ID 44531,Network Failure
[4211]  Error response from daemon: container cannot be started - Execution ID 23954,Container Crash
[2684]  [INFO] Thread-7 executing task AssertionError: timestamp mismatch (flaky) - Execution ID 88943,Flaky Test
[9316]  [INFO] Thread-1 executing task Error: expect(received).toBe(expected) - Execution ID 82858,Test Failure
[6538]  npm ERR! peerDependencies WARNING - Execution ID 49370,Dependency Error
[2480]  [INFO] Thread-3 executing task Connection timed out after 30000 milliseconds - Execution ID 91113,Timeout Failure
[7177]  [INFO] Thread-10 executing task Expected value to equal: 5 Received: 4 - Execution ID 40427,Test Failure
[8946]  [INFO] Thread-9 executing task docker run failed: container crashed unexpectedly - Execution ID 27088,Container Crash
[4829]  Segmentation fault (core dumped) - Execution ID 13818,Container Crash
[8024]  AccessDeniedException: User is not authorized to perform: iam:PassRole - Execution ID 60343,Permission Error
[6497]  [INFO] Thread-5 executing task ModuleNotFoundError: No module named 'src.utils' - Execution ID 44114,Build Failure
[6418]  [INFO] Thread-5 executing task Network is unreachable - Execution ID 71432,Network Failure
[1315]  [INFO] Thread-5 executing task AssertionError: expected False to be True - Execution ID 31589,Test Failure
[9809]  [INFO] Thread-1 executing task socket hang up - Execution ID 37057,Network Failure
[1341]  [INFO] Thread-3 executing task TS2322: Type 'string' is not assignable to type 'number'. - Execution ID 45925,Build Failure
[8129]  Cannot read property 'url' of undefined from process.env - Execution ID 62086,Environment Issue
[9417]  Gateway Timeout: 504 - Execution ID 91281,Timeout Failure
"[2942]  Randomised test failed, check seed 12345 - Execution ID 75228",Flaky Test
[9776]  test_user_auth_failed: user is not authenticated - Execution ID 70335,Test Failure
[5315]  SyntaxError: Unexpected token - Execution ID 75845,Build Failure
[1159]  [INFO] Thread-3 executing task socket hang up - Execution ID 36167,Network Failure
[4436]  Error: Missing environment variable DB_PASSWORD - Execution ID 18410,Environment Issue
[4429]  WARN: Test execution time varied by more than 50% - Execution ID 13584,Flaky Test
[1920]  Network is unreachable - Execution ID 42205,Network Failure
[9998]  [INFO] Thread-9 executing task Exception: AWS_REGION is not set - Execution ID 34902,Environment Issue
[6445]  [INFO] Thread-10 executing task npm ERR! code ERESOLVE - Execution ID 31811,Dependency Error
[1562]  Gateway Timeout: 504 - Execution ID 92487,Timeout Failure
[7650]  User does not have permission to execute this action - Execution ID 21711,Permission Error
[9271]  Test passed on retry 2 - Execution ID 71908,Flaky Test
[1115]  Test passed on retry 2 - Execution ID 63405,Flaky Test
[6826]  socket hang up - Execution ID 10202,Network Failure
[2263]  AccessDeniedException: User is not authorized to perform: iam:PassRole - Execution ID 13929,Permission Error
[2879]  Configuration Error: Invalid JSON in config.yaml - Execution ID 87616,Environment Issue
[5610]  AssertionError: timestamp mismatch (flaky) - Execution ID 83344,Flaky Test
[5918]  [INFO] Thread-1 executing task Network is unreachable - Execution ID 44223,Network Failure
[1509]  AssertionError: expected False to be True - Execution ID 52007,Test Failure
[8780]  Cannot read property 'url' of undefined from process.env - Execution ID 26431,Environment Issue
[6612]  Cannot read property 'url' of undefined from process.env - Execution ID 90398,Environment Issue
[3738]  [INFO] Thread-7 executing task Gateway Timeout: 504 - Execution ID 70111,Timeout Failure
[3601]  Expected value to equal: 5 Received: 4 - Execution ID 48353,Test Failure
[6612]  Failed to connect to repository: Could not resolve host - Execution ID 47497,Network Failure
[9134]  error: ISO C++ forbids comparison between pointer and integer - Execution ID 15580,Build Failure
[1594]  [INFO] Thread-6 executing task User does not have permission to execute this action - Execution ID 77938,Permission Error
[2350]  [INFO] Thread-1 executing task socket hang up - Execution ID 67736,Network Failure
[8906]  [INFO] Thread-7 executing task 403 Forbidden: Access denied - Execution ID 22700,Permission Error
[6022]  [INFO] Thread-10 executing task chmod: changing permissions of 'script.sh': Operation not permitted - Execution ID 50550,Permission Error
[6188]  [INFO] Thread-5 executing task error: expected ';' before '}' token - Execution ID 90416,Build Failure
[2343]  [INFO] Thread-6 executing task Connection timed out after 30000 milliseconds - Execution ID 83316,Timeout Failure
[4211]  [INFO] Thread-4 executing task Exception: AWS_REGION is not set - Execution ID 75947,Environment Issue
[9619]  Job terminated: Exceeded maximum allowed runtime - Execution ID 57295,Timeout Failure
[9672]  [INFO] Thread-9 executing task Intermittent failure in test_network_connection - Execution ID 58067,Flaky Test
[8812]  Intermittent failure in test_network_connection - Execution ID 30957,Flaky Test
[8079]  AssertionError: timestamp mismatch (flaky) - Execution ID 30047,Flaky Test
[6553]  [INFO] Thread-6 executing task Connection timed out after 30000 milliseconds - Execution ID 41125,Timeout Failure
[9907]  403 Forbidden: Access denied - Execution ID 32589,Permission Error
[7199]  [INFO] Thread-7 executing task OOMKilled: Container exited with code 137 - Execution ID 90447,Container Crash
[5038]  Network is unreachable - Execution ID 13022,Network Failure
[6075]  [INFO] Thread-6 executing task panic: runtime error: invalid memory address or nil pointer dereference - Execution ID 49426,Container Crash
[8762]  [INFO] Thread-5 executing task Configuration Error: Invalid JSON in config.yaml - Execution ID 82332,Environment Issue
[5775]  Gateway Timeout: 504 - Execution ID 99250,Timeout Failure
[8994]  test_user_auth_failed: user is not authenticated - Execution ID 23655,Test Failure
[1893]  [INFO] Thread-1 executing task chmod: changing permissions of 'script.sh': Operation not permitted - Execution ID 77750,Permission Error
[4122]  Missing dependency: left-pad is not installed - Execution ID 76807,Dependency Error
[7426]  [INFO] Thread-4 executing task test_user_auth_failed: user is not authenticated - Execution ID 12199,Test Failure
[9431]  [INFO] Thread-1 executing task Segmentation fault (core dumped) - Execution ID 46753,Container Crash
[4152]  Configuration Error: Invalid JSON in config.yaml - Execution ID 73559,Environment Issue
[9267]  Error: expect(received).toBe(expected) - Execution ID 15275,Test Failure
[2503]  Error: expect(received).toBe(expected) - Execution ID 53329,Test Failure
[7744]  [INFO] Thread-5 executing task FileNotFoundError: [Errno 2] No such file or directory: '/etc/config.json' - Execution ID 80360,Environment Issue
[3178]  [INFO] Thread-9 executing task Could not resolve dependencies for project - Execution ID 87066,Dependency Error
[8476]  urllib.error.URLError: <urlopen error [Errno 111] Connection refused> - Execution ID 20675,Network Failure
[7096]  [INFO] Thread-4 executing task Failed to connect to repository: Could not resolve host - Execution ID 79913,Network Failure
[5180]  [INFO] Thread-4 executing task Missing dependency: left-pad is not installed - Execution ID 34570,Dependency Error
[9353]  FileNotFoundError: [Errno 2] No such file or directory: '/etc/config.json' - Execution ID 22284,Environment Issue
[4316]  [INFO] Thread-8 executing task make: *** [all] Error 2 - Execution ID 14703,Build Failure
[5781]  [INFO] Thread-10 executing task Error: Missing environment variable DB_PASSWORD - Execution ID 33813,Environment Issue
[1721]  [INFO] Thread-4 executing task socket hang up - Execution ID 96602,Network Failure
"[1094]  Error: Timeout of 5000ms exceeded. For async tests and hooks, ensure ""done()"" is called - Execution ID 45652",Timeout Failure
"[8277]  [INFO] Thread-6 executing task Error: Timeout of 5000ms exceeded. For async tests and hooks, ensure ""done()"" is called - Execution ID 11226",Timeout Failure
"[9035]  [INFO] Thread-1 executing task Randomised test failed, check seed 12345 - Execution ID 20490",Flaky Test
[5439]  Failed to connect to repository: Could not resolve host - Execution ID 20341,Network Failure
[8059]  [INFO] Thread-5 executing task AssertionError: expected False to be True - Execution ID 15810,Test Failure
[1302]  ModuleNotFoundError: No module named 'src.utils' - Execution ID 60400,Build Failure
"[1975]  [INFO] Thread-2 executing task Randomised test failed, check seed 12345 - Execution ID 43415",Flaky Test
[2792]  Error: expect(received).toBe(expected) - Execution ID 67582,Test Failure
[1462]  npm ERR! code ERESOLVE - Execution ID 99595,Dependency Error
[5395]  AccessDeniedException: User is not authorized to perform: iam:PassRole - Execution ID 34175,Permission Error
[1146]  panic: runtime error: invalid memory address or nil pointer dereference - Execution ID 22827,Container Crash
[3681]  urllib.error.URLError: <urlopen error [Errno 111] Connection refused> - Execution ID 66583,Network Failure
[8440]  [INFO] Thread-7 executing task socket hang up - Execution ID 46799,Network Failure
[6867]  [INFO] Thread-4 executing task docker run failed: container crashed unexpectedly - Execution ID 49931,Container Crash
[8222]  Cannot read property 'url' of undefined from process.env - Execution ID 67975,Environment Issue
[1479]  chmod: changing permissions of 'script.sh': Operation not permitted - Execution ID 39862,Permission Error
[7380]  [INFO] Thread-7 executing task urllib.error.URLError: <urlopen error [Errno 111] Connection refused> - Execution ID 94294,Network Failure
[1172]  [INFO] Thread-6 executing task error: ISO C++ forbids comparison between pointer and integer - Execution ID 75103,Build Failure
"[9720]  [INFO] Thread-5 executing task Randomised test failed, check seed 12345 - Execution ID 44112",Flaky Test
"[7343]  Error: Timeout of 5000ms exceeded. For async tests and hooks, ensure ""done()"" is called - Execution ID 38536",Timeout Failure
[7767]  error: ISO C++ forbids comparison between pointer and integer - Execution ID 11896,Build Failure
[6433]  docker run failed: container crashed unexpectedly - Execution ID 76628,Container Crash
[3697]  [INFO] Thread-6 executing task make: *** [all] Error 2 - Execution ID 71287,Build Failure
[2667]  Failed to connect to repository: Could not resolve host - Execution ID 85575,Network Failure
[7169]  npm ERR! peerDependencies WARNING - Execution ID 87663,Dependency Error
[7562]  [INFO] Thread-6 executing task Failed to connect to repository: Could not resolve host - Execution ID 41741,Network Failure
